1000000	1000000	1000000	336.0919367	1000000	1000000	1000000	434.573118	1000000	218.2286455	1000000	1000000	1000000	608.5353028	1000000	1000000	1000000	1000000	647.8803531	1000000	411.5589777	1000000
1000000	1000000	582.3229152	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	406.5667354	354.7778969	1000000	248.9006061	612.2493429	1000000	1000000	1000000	1000000	1000000	1000000
1000000	582.3229152	1000000	1000000	1000000	1000000	586.6612422	1000000	417.3922229	1000000	1000000	1000000	240.8495204	1000000	1000000	203.7893259	655.9728653	1000000	1000000	1000000	1000000	1000000
336.0919367	1000000	1000000	1000000	1000000	536.7049951	1000000	488.3769882	1000000	507.7404407	1000000	1000000	1000000	1000000	1000000	1000000	1000000	644.6822916	1000000	1000000	1000000	1000000
1000000	1000000	1000000	1000000	1000000	1000000	491.4122135	1000000	448.5524759	1000000	661.3118611	1000000	1000000	1000000	1000000	1000000	160.2076766	1000000	1000000	302.540407	1000000	508.0149146
1000000	1000000	1000000	536.7049951	1000000	1000000	1000000	562.996968	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	405.2304971	1000000	1000000	1000000	1000000
1000000	1000000	586.6612422	1000000	491.4122135	1000000	1000000	1000000	517.1334685	1000000	441.4144315	927.5381797	657.4025782	1000000	1000000	405.4647881	442.8382197	1000000	625.9581479	683.087554	1000000	596.1304443
434.573118	1000000	1000000	488.3769882	1000000	562.996968	1000000	1000000	1000000	353.6424044	660.3723237	1000000	1000000	1000000	1000000	1000000	1000000	310.4164341	313.8663986	1000000	454.5113882	1000000
1000000	1000000	417.3922229	1000000	448.5524759	1000000	517.1334685	1000000	1000000	1000000	1000000	1000000	644.0826082	1000000	1000000	436.3464285	288.7857903	1000000	1000000	344.5459434	1000000	1000000
218.2286455	1000000	1000000	507.7404407	1000000	1000000	1000000	353.6424044	1000000	1000000	1000000	1000000	1000000	521.5875952	1000000	1000000	1000000	663.9169871	469.0095203	1000000	201.519605	1000000
1000000	1000000	1000000	1000000	661.3118611	1000000	441.4144315	660.3723237	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	619.055645	397.3230677	1000000	1000000	348.6341353
1000000	406.5667354	1000000	1000000	1000000	1000000	927.5381797	1000000	1000000	1000000	1000000	1000000	573.6233322	510.6686789	447.9675499	1000000	1000000	1000000	975.1837534	1000000	694.2131966	1000000
1000000	354.7778969	240.8495204	1000000	1000000	1000000	657.4025782	1000000	644.0826082	1000000	1000000	573.6233322	1000000	1000000	603.6784312	268.7278583	1000000	1000000	1000000	1000000	1000000	1000000
608.5353028	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	521.5875952	1000000	510.6686789	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	436.4131138	1000000
1000000	248.9006061	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	447.9675499	603.6784312	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
1000000	612.2493429	203.7893259	1000000	1000000	1000000	405.4647881	1000000	436.3464285	1000000	1000000	1000000	268.7278583	1000000	1000000	1000000	593.8914063	1000000	1000000	1000000	1000000	1000000
1000000	1000000	655.9728653	1000000	160.2076766	1000000	442.8382197	1000000	288.7857903	1000000	1000000	1000000	1000000	1000000	1000000	593.8914063	1000000	1000000	1000000	244.0525465	1000000	633.7259093
1000000	1000000	1000000	644.6822916	1000000	405.2304971	1000000	310.4164341	1000000	663.9169871	619.055645	1000000	1000000	1000000	1000000	1000000	1000000	1000000	454.0279216	1000000	1000000	845.9392165
647.8803531	1000000	1000000	1000000	1000000	1000000	625.9581479	313.8663986	1000000	469.0095203	397.3230677	975.1837534	1000000	1000000	1000000	1000000	1000000	454.0279216	1000000	1000000	423.9539249	1000000
1000000	1000000	1000000	1000000	302.540407	1000000	683.087554	1000000	344.5459434	1000000	1000000	1000000	1000000	1000000	1000000	1000000	244.0525465	1000000	1000000	1000000	1000000	1000000
411.5589777	1000000	1000000	1000000	1000000	1000000	1000000	454.5113882	1000000	201.519605	1000000	694.2131966	1000000	436.4131138	1000000	1000000	1000000	1000000	423.9539249	1000000	1000000	1000000
1000000	1000000	1000000	1000000	508.0149146	1000000	596.1304443	1000000	1000000	1000000	348.6341353	1000000	1000000	1000000	1000000	1000000	633.7259093	845.9392165	1000000	1000000	1000000	1000000
