0	0	586.6612422	0	417.3922229	0	0	0	240.8495204	203.7893259	655.9728653	0	0	0	0
0	0	491.4122135	0	448.5524759	0	661.3118611	0	0	0	160.2076766	0	302.540407	0	508.0149146
586.6612422	491.4122135	0	0	517.1334685	0	441.4144315	927.5381797	657.4025782	405.4647881	442.8382197	625.9581479	683.087554	0	596.1304443
0	0	0	0	0	353.6424044	660.3723237	0	0	0	0	313.8663986	0	454.5113882	0
417.3922229	448.5524759	517.1334685	0	0	0	0	0	644.0826082	436.3464285	288.7857903	0	344.5459434	0	0
0	0	0	353.6424044	0	0	0	0	0	0	0	469.0095203	0	201.519605	0
0	661.3118611	441.4144315	660.3723237	0	0	0	0	0	0	0	397.3230677	0	0	348.6341353
0	0	927.5381797	0	0	0	0	0	573.6233322	0	0	975.1837534	0	694.2131966	0
240.8495204	0	657.4025782	0	644.0826082	0	0	573.6233322	0	268.7278583	0	0	0	0	0
203.7893259	0	405.4647881	0	436.3464285	0	0	0	268.7278583	0	593.8914063	0	0	0	0
655.9728653	160.2076766	442.8382197	0	288.7857903	0	0	0	0	593.8914063	0	0	244.0525465	0	633.7259093
0	0	625.9581479	313.8663986	0	469.0095203	397.3230677	975.1837534	0	0	0	0	0	423.9539249	0
0	302.540407	683.087554	0	344.5459434	0	0	0	0	0	244.0525465	0	0	0	0
0	0	0	454.5113882	0	201.519605	0	694.2131966	0	0	0	423.9539249	0	0	0
0	508.0149146	596.1304443	0	0	0	348.6341353	0	0	0	633.7259093	0	0	0	0
